Postal Code;City;Region;Country/Region
PL1 1AA;Plymouth;Devon;United Kingdom
BS1 1AA;Bristol;Bristol;United Kingdom
BS1 1AA;Bristol;Bristol;United Kingdom
LS1 1AA;Leeds;West Yorkshire;United Kingdom
CF10 1AA;Cardiff;Wales;United Kingdom
M1 1AA;Manchester;Greater Manchester;United Kingdom
L1 1AA;Liverpool;Merseyside;United Kingdom
NE1 1AA;Newcastle;Tyne and Wear;United Kingdom
L1 1AA;Liverpool;Merseyside;United Kingdom
BS1 1AA;Bristol;Bristol;United Kingdom
CB1 1AA;Cambridge;Cambridgeshire;United Kingdom
BN1 1AA;Brighton;East Sussex;United Kingdom
B1 1AA;Birmingham;West Midlands;United Kingdom
L1 1AA;Liverpool;Merseyside;United Kingdom
YO1 1AA;York;North Yorkshire;United Kingdom
YO1 1AA;York;North Yorkshire;United Kingdom
YO1 1AA;York;North Yorkshire;United Kingdom
CB1 1AA;Cambridge;Cambridgeshire;United Kingdom
M1 1AA;Manchester;Greater Manchester;United Kingdom
BS1 1AA;Bristol;Bristol;United Kingdom
CB1 1AA;Cambridge;Cambridgeshire;United Kingdom
NE1 1AA;Newcastle;Tyne and Wear;United Kingdom
EH1 1AA;Edinburgh;Scotland;United Kingdom
NE1 1AA;Newcastle;Tyne and Wear;United Kingdom
YO1 1AA;York;North Yorkshire;United Kingdom
BS1 1AA;Bristol;Bristol;United Kingdom
M1 1AA;Manchester;Greater Manchester;United Kingdom
CF10 1AA;Cardiff;Wales;United Kingdom
NE1 1AA;Newcastle;Tyne and Wear;United Kingdom
SO14 1AA;Southampton;Hampshire;United Kingdom
L1 1AA;Liverpool;Merseyside;United Kingdom
SO14 1AA;Southampton;Hampshire;United Kingdom
CF10 1AA;Cardiff;Wales;United Kingdom
EH1 1AA;Edinburgh;Scotland;United Kingdom
B1 1AA;Birmingham;West Midlands;United Kingdom
YO1 1AA;York;North Yorkshire;United Kingdom
NE1 1AA;Newcastle;Tyne and Wear;United Kingdom
LS1 1AA;Leeds;West Yorkshire;United Kingdom
NE1 1AA;Newcastle;Tyne and Wear;United Kingdom
PL1 1AA;Plymouth;Devon;United Kingdom
L1 1AA;Liverpool;Merseyside;United Kingdom
L1 1AA;Liverpool;Merseyside;United Kingdom
G1 1AA;Glasgow;Scotland;United Kingdom
CB1 1AA;Cambridge;Cambridgeshire;United Kingdom
NE1 1AA;Newcastle;Tyne and Wear;United Kingdom
G1 1AA;Glasgow;Scotland;United Kingdom
EH1 1AA;Edinburgh;Scotland;United Kingdom
SO14 1AA;Southampton;Hampshire;United Kingdom
EH1 1AA;Edinburgh;Scotland;United Kingdom
BS1 1AA;Bristol;Bristol;United Kingdom
B1 1AA;Birmingham;West Midlands;United Kingdom
L1 1AA;Liverpool;Merseyside;United Kingdom
M1 1AA;Manchester;Greater Manchester;United Kingdom
LS1 1AA;Leeds;West Yorkshire;United Kingdom
M1 1AA;Manchester;Greater Manchester;United Kingdom
G1 1AA;Glasgow;Scotland;United Kingdom
BT1 1AA;Belfast;Northern Ireland;United Kingdom
CF10 1AA;Cardiff;Wales;United Kingdom
LS1 1AA;Leeds;West Yorkshire;United Kingdom
PL1 1AA;Plymouth;Devon;United Kingdom
BN1 1AA;Brighton;East Sussex;United Kingdom
PL1 1AA;Plymouth;Devon;United Kingdom
LS1 1AA;Leeds;West Yorkshire;United Kingdom
BN1 1AA;Brighton;East Sussex;United Kingdom
CF10 1AA;Cardiff;Wales;United Kingdom
G1 1AA;Glasgow;Scotland;United Kingdom
EH1 1AA;Edinburgh;Scotland;United Kingdom
G1 1AA;Glasgow;Scotland;United Kingdom
M1 1AA;Manchester;Greater Manchester;United Kingdom
PL1 1AA;Plymouth;Devon;United Kingdom
CF10 1AA;Cardiff;Wales;United Kingdom
EH1 1AA;Edinburgh;Scotland;United Kingdom
NE1 1AA;Newcastle;Tyne and Wear;United Kingdom
G1 1AA;Glasgow;Scotland;United Kingdom
L1 1AA;Liverpool;Merseyside;United Kingdom
M1 1AA;Manchester;Greater Manchester;United Kingdom
BS1 1AA;Bristol;Bristol;United Kingdom
EH1 1AA;Edinburgh;Scotland;United Kingdom
SW1A 1AA;London;England;United Kingdom
SW1A 1AA;London;England;United Kingdom
SO14 1AA;Southampton;Hampshire;United Kingdom
YO1 1AA;York;North Yorkshire;United Kingdom
G1 1AA;Glasgow;Scotland;United Kingdom
NE1 1AA;Newcastle;Tyne and Wear;United Kingdom
BN1 1AA;Brighton;East Sussex;United Kingdom
LS1 1AA;Leeds;West Yorkshire;United Kingdom
CB1 1AA;Cambridge;Cambridgeshire;United Kingdom
YO1 1AA;York;North Yorkshire;United Kingdom
EH1 1AA;Edinburgh;Scotland;United Kingdom
PL1 1AA;Plymouth;Devon;United Kingdom
SW1A 1AA;London;England;United Kingdom
LS1 1AA;Leeds;West Yorkshire;United Kingdom
EH1 1AA;Edinburgh;Scotland;United Kingdom
